location,text,hashtags
"Kettering,uk","PM Boris Johnson getting real thrashing from Tony Grew @ayestotheright in The Papers on @BBCNews for his weak messaging on #COVID19, avoiding word #lockdown, giving ""advice"" not instructions -- and standing less than two metres away from his colleagues at daily press conferences.",[]
TX,"Since this Trump tweet one month ago: The number of confirmed #COVID19 case in the US skyrocketed from 14 to 28,000. And the Dow lost 31% of its value, dropping ~8,800 points. https://t.co/OljMnksEOt","[{'text': 'COVID19', 'indices': [81, 89]}]"
Abingdon,"""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
,"Car broke down in Dublin tonight, Gardaí from Pearse St were on hand to help this lady and her son to get home safely. 
We’re here to help in whatever situation.

#Covid19

#SocialDistancing

#WashYourHands. https://t.co/E7IxBeZuGG",[]
Thailand,"Im in 60 million people. 😜
#ไวรัสปอดอักเสบ #โควิค19 #covid19 https://t.co/eSQry3Cq3S","[{'text': 'ไวรัสปอดอักเสบ', 'indices': [39, 54]}, {'text': 'โควิค19', 'indices': [55, 63]}, {'text': 'covid19', 'indices': [64, 72]}]"
,"#COVID19: Boris Johnson has warned the British public not to ignore social distancing measures whilst out in parks and open spaces.

Read more here: https://t.co/cIUqYehg3T https://t.co/4kDoz7qcGL","[{'text': 'COVID19', 'indices': [13, 21]}]"
المملكة العربية السعودية,I feel sorry for @CNN. They are attacking @realDonaldTrump more than talking about #COVID19 . The real danger is the virus not the president. A little focus would help.,"[{'text': 'COVID19', 'indices': [95, 103]}]"
Canada,"The actions we take today could mean the difference between life &amp; death for many of our neighbours.

When this is over, will you be able to look at yourself in the mirror &amp; honestly say you did everything you could to help?

Make sure the answer is yes.

#vanpoli #COVID19",[]
Pune,"PLEASE RETWEET -
ICMR: List of Operational Laboratories for #COVID19 testing. https://t.co/gjQjCpLNaU","[{'text': 'COVID19', 'indices': [76, 84]}]"
Toronto,"“From Prime Minister Trudeau to our premiers and mayors, the performances of our leaders have been commendable.

But perhaps the biggest success has been the commanding performance of Ontario Premier Doug Ford.” #OntarioSpirit #onpoli #COVID19  https://t.co/l5bKPjNZyd",[]
,"when to consider #COVID19 CRS and meds like #tocilizumab?
🔹ferritin &gt;2k or &gt;1k since predictor of survival🤷🏻‍♀️
🔹platelet &lt;110k &amp; Hgb &lt;9.2
🔹⬆️ ESR
🔹wbc &lt;5k
🔹age&lt;70? survival signal🤷🏻‍♀️
⁦⁦@ArnoukSerena⁩ ⁦⁦@ColombianpharmD⁩  https://t.co/nRIXWGZFim","[{'text': 'COVID19', 'indices': [33, 41]}, {'text': 'tocilizumab', 'indices': [60, 72]}]"
Perth Western Australia,.@GovHawaii Hawaii’s 14-day travel quarantine needs to be implemented NOW. Not in 4-5 days. #Coronavirus #Covid19 https://t.co/IWpwKh2Kuh,"[{'text': 'Coronavirus', 'indices': [110, 122]}, {'text': 'Covid19', 'indices': [123, 131]}]"
Koforidua,#Covid19 Update https://t.co/4avMio6CNI,"[{'text': 'Covid19', 'indices': [14, 22]}]"
"Marang, Terengganu","""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
United States,"@psychdr100 It's almost like this is the Trump admin way to decrease the surplus population and save $$. Let the elderly, sick, poor, suseptible die of #COVID19 since the pay little or nothing in to their govt in form of taxes, etc.. sad to think but...","[{'text': 'COVID19', 'indices': [152, 160]}]"
"Queens, NY","https://t.co/6PX52xk41j READ: Letter to @NYGovCuomo &amp; @NYCMayor calling for emergency action to meet the survival needs of homeless NYers amid COVID19 pandemic. 80K ppl are homeless in NYC. Ppl need housing, food &amp; sanitation. Not policing or jails. #HomelessCantStayHome #covid19 https://t.co/ljwNA5bMaj",[]
Kuala Lumpur ,"Another death has been recorded today, just hours after an earlier report of a doctor succumbing to the virus infection, bringing total fatalities in Malaysia to 10 as of March 22, 5 PM. 

#covid19 #malaysia https://t.co/3bITgOJejl",[]
Middle of no where,"BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[]
,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
,South Korean officials made mistakes that cost them precious time in the fight against MERS. But those lessons paved the way for many of the successful strategies the government is deploying in its response to #COVID19.   https://t.co/8YUipLUlgB https://t.co/vLT85j8cgE,[]
"Long Beach, CA",Please follow social distancing guidelines to avoid #COVID19. Thanks to @TheNationalMall you can do that via the #BloomCam here: https://t.co/KrbT6wZWAI and still enjoy the beloved Cherry Blossoms on @NationalmallNPS,"[{'text': 'COVID19', 'indices': [64, 72]}, {'text': 'BloomCam', 'indices': [125, 134]}]"
,"Severe lack of #COVID19 testing means we need alternate methods to understand community transmission.

We are launching @COVIDNearYou crowdsourcing platform. Take a few seconds to report your symptoms and help us build a national picture of #coronavirus.

https://t.co/2g1hyMQldW https://t.co/mhIY9VnnGM","[{'text': 'COVID19', 'indices': [35, 43]}]"
"Orlando, FL","Transportation workers have been on the frontlines keeping America safe from #COVID19. Now it is time for Congress to protect us! Grants for airlines must protect our paychecks, include bankruptcy protections for workers, and prevent companies from undermining our CBAs!","[{'text': 'COVID19', 'indices': [77, 85]}]"
,"Florida Lawmakers will be hopping on a call w/@GovRonDeSantis staff TONIGHT at 6:30pm. Please retweet if you want FL to enact a shelter in place requirement to prevent the spread #COVID19! 

#DeSantis #FloridaLockDown #Coronavirus",[]
"Yekaterinburg, Russia","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Frontenac, Ontario","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Noida, India","Meanwhile, in Russia...
#covid19 https://t.co/FXNdo4wOLQ","[{'text': 'covid19', 'indices': [24, 32]}]"
"Chesterfield, VA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
Atlanta metro,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
Los Angeles,y’all investing in zoom stock need to invest in vibrator and dildo stocks #COVID19,"[{'text': 'COVID19', 'indices': [74, 82]}]"
,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.

I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",[]
,"Congressman @joekennedy addressed 2 CRUCIAL issues, in the Lupus/auto-immune &amp; disability communities:

1) How access to Plaquenil/hydroxychloroquine will be impacted for people who currently use it DAILY.

2) How people on SSDI will be included in new #COVID19 stimulus bill.

⬇️ https://t.co/ude1JLu6uK",[]
,"ITALY'S OUTBREAK IS THE WORST CASE? IT'S NOT. 

US is a disaster unfolding. It's the only developed nation without universal #healthcare, has the largest growth of #COVID19 cases globally (2X every 2 days). Initial slow growth was bc of little testing https://t.co/KXvTWJu6DD https://t.co/vblD7VL92i",[]
"Baile Atha Cliath, Ireland","Car broke down in Dublin tonight, Gardaí from Pearse St were on hand to help this lady and her son to get home safely. 
We’re here to help in whatever situation.

#Covid19

#SocialDistancing

#WashYourHands. https://t.co/E7IxBeZuGG",[]
"Owego, NY","If you’re at home and want to “help the cause,” pick up the phone, call your local ED or fire station and offer to send in breakfast/lunch/dinner. Our front line personnel will love you for the (edible) moral support! Channeling @jducanto! #COVID19 https://t.co/HAaX8pU6h4",[]
"Pembroke, Ontario, Canada","Please DO NOT DO THIS.

Find a different spot or different time of day. You are making things worse and endangering your community.

I can not be more clear about that.

Practice #SocialDistancing 

#yeg #COVID19 #CommonSense https://t.co/NNzxVFagoE",[]
,"They are heroes. They go to work for us, so please #StayAtHome for them. 

Please support healthcare providers, grocery store, pharmacy employees and all essential workers who are keeping us safe and keeping our supply chain strong. 

#SocialDistancing #COVID19 #MarkhamCares https://t.co/SQAdCrXZIR","[{'text': 'StayAtHome', 'indices': [71, 82]}]"
London:Yorkshire,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
,Our @StateDept team is working around the clock to identify transportation options for U.S. citizens stranded by the #COVID19 crisis and seeking to return home. Register at https://t.co/t49IZiiE77 and follow the nearest U.S. embassy website for the latest local alerts.,[]
"Omaha, NE",".@NEDHHS announce a number of new confirmed #COVID19 cases across the state.  A total of 48 cases have been confirmed throughout Nebraska. 
#Coronaha | #NECOVID19 https://t.co/lb0p7t4RJ0","[{'text': 'COVID19', 'indices': [63, 71]}]"
Commonwealth of Pennsylvania,"I hosted a virtual press conference to remind non-life-sustaining PA businesses that tomorrow we will begin enforcement if their physical locations aren’t closed by 8 AM.

This is a hard decision, but it needs to be done to give our first responders a chance against #COVID19. https://t.co/ep0VoZXZTd",[]
United States,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.

I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",[]
Cape Cod 🐋,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
,"There cannot be #AJustStimulus in response to #Covid19 unless:

✅Follows @RepMaxineWaters blueprint 4 comprehensive fiscal stimulus
✅Meets @SenWarren's litmus test to prevent any corporate bailout
✅Provides election protection measures including vote by mail 🧵 (1/5) ↘️","[{'text': 'AJustStimulus', 'indices': [30, 44]}, {'text': 'Covid19', 'indices': [60, 68]}]"
Hollyweird,URGENT: CALL YOUR SENATORS TODAY! Tell them not to leave you behind and to provide economic support for creative professionals impacted by the coronavirus #sagaftramembers #COVID19 https://t.co/eBzeBXfA4V https://t.co/pNRBRy0GXd,[]
,"A disabled person who needs a ventilator is not expendable or
disposable.

#COVID19 #CripTheVote","[{'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CripTheVote', 'indices': [101, 113]}]"
"Manila, Philippines","Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.","[{'text': 'COVID19', 'indices': [89, 97]}]"
ny,"BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[]
Lost in the Minnesota North Woods,"USA: As of 8 pm 3/22 
@FluTrackers
 reporting reporting 420 #COVID19 #Coronavirus fatalities as follows;
Arizona: 2
California: 30
Colorado: 6
Connecticut: 8
District of Columbia: 2
Florida: 13
Georgia: 25
Guam: 1
Illinois: 9
Indiana: 6
Kansas: 2
Kentucky: 3
Louisiana: 20
...","[{'text': 'COVID19', 'indices': [78, 86]}, {'text': 'Coronavirus', 'indices': [87, 99]}]"
Stupidville,"A disabled person who needs a ventilator is not expendable or
disposable.

#COVID19 #CripTheVote","[{'text': 'COVID19', 'indices': [92, 100]}, {'text': 'CripTheVote', 'indices': [101, 113]}]"
,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
"Vancouver Island, BC",The COVID-19 outbreak is stressful for children too. BC Children’s head of psychology has ways caregivers can help reduce anxiety for kids: https://t.co/WVHhqHTV3k #COVID19 #coronavirus https://t.co/cqD7ch5kDs,[]
,"Currently, there are five molecular laboratories in NCDC’s laboratory network with the capacity to test for #COVID19 in Nigeria.

Our lab teams are working around the clock to ensure rapid testing of samples from suspected #COVID19Nigeria cases across the country. https://t.co/besACz9WTb","[{'text': 'COVID19', 'indices': [121, 129]}]"
,DROPPED TODAY IN FLATBUSH 💥 VIA @peacebewithjune with note — It was painted and dropped while keeping each other safe and adhering to quarantine || ✊🏽🌱 #strike #everything #decolonizethisplace #nyc #brooklyn #coronavirus #covid_19 #covid #covid19 https://t.co/gBuHkjuc09,[]
"Michigan, USA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
FL,"@TheRickWilson Mitch, Mitch? Are you home? What say you now? #coronavirus #COVID19 #Leadership https://t.co/q23fliSQE9","[{'text': 'coronavirus', 'indices': [74, 86]}, {'text': 'COVID19', 'indices': [87, 95]}, {'text': 'Leadership', 'indices': [96, 107]}]"
MATEBELELAND NORTH ZIMBABWE,"Three new cases of #COVID19 have been confirmed in Lagos, Nigeria

2 cases are returning travellers and 1 is a contact of a confirmed case. 

As at 05:28 pm on the 22nd of March, there are 30 confirmed cases of #COVID19 in Nigeria. 2 have been discharged with no deaths. https://t.co/UQVYdkE9Xk","[{'text': 'COVID19', 'indices': [32, 40]}]"
"Auckland, New Zealand","""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
"San Antonio, TX","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Dalton,MA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
Ireland,@garvangrant The leader of the third largest party who was elected on the fifth count wants to form a unity government without the party that received the largest share of the vote.🤭 #COVIDー19 #COVID19 @sinnfeinireland,[]
Positive Psychology: https://bit.ly/2VLs8cg,"And here is one more tip on how you can help us protect #healthworkers from #COVID19 - only wear a mask if you are sick or if you are caring for someone who is sick. Watch this great explanation by Dr @mvankerkhove, @WHO #coronavirus expert. https://t.co/MS7VZT07Qp","[{'text': 'healthworkers', 'indices': [70, 84]}, {'text': 'COVID19', 'indices': [90, 98]}]"
,"💨”Thus says the Lord #GOD
to these bones, ‘Behold, I will
cause breath to enter you that
you may come to life.💨

📖 Ezekiel 37:5💦🕊😇🌱🌅

🐛”You are a new creation in
🦋#JESUS !” 📖 2 Cor. 5:17

🙏#CoronaVirusUpdates #COVID19 #Italy #Iran #SocialDistancing #coronavirus https://t.co/3tF20TqxiQ","[{'text': 'GOD', 'indices': [40, 44]}]"
Chicago,The City of Chicago cannot thank the staff of @ChiPubSchools enough. They continue to rise to meet the challenges of #COVID19 and are an example for us all. https://t.co/tNIvAc3PIW,[]
"Florida, USA","We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly","[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'WeStandWithItaly', 'indices': [170, 187]}]"
"Bangkok, Thailand","#โควิค19
#COVID19
Prediction of people infected with the virus in Thailand. following are among the most important: To the extent possible, avoid crowds, and try not to shake hands with people who obviously have a infected. https://t.co/lStWvj8dd4","[{'text': 'โควิค19', 'indices': [19, 27]}, {'text': 'COVID19', 'indices': [28, 36]}]"
Lancaster,This weekend people have basically been panic buying the outdoors. #coronavirus #COVID19,"[{'text': 'coronavirus', 'indices': [67, 79]}, {'text': 'COVID19', 'indices': [80, 88]}]"
"Pennsylvania, USA","@RealMattCouch The #CCP's disinfo campaign demands that their ""statistics"" be taken with EXTREME skepticism.

Total global stats should exclude #China's reports because any artificial suppression skews #COVID19's true impact...

and that endangers all of us.

https://t.co/rNNkHbrLqp

#CCPVirus","[{'text': 'CCP', 'indices': [34, 38]}]"
,"Nonsense. You call it 'highly pathogenic' now, but last month your officials blocked a WHO report from calling #COVID19 a 'dangerous pathogen': https://t.co/r0yc6TXjDV. #CovidCoverup #ChinaTransparencyNow https://t.co/febiYlOrio","[{'text': 'COVID19', 'indices': [130, 138]}]"
"Kansas City, MO","I’m less interested in the fact that Harvey Weinstein tested positive for #COVID19, as much as the fact that he got a test before actually decent humans.","[{'text': 'COVID19', 'indices': [91, 99]}]"
,I am afraid all the red states like my own are going to get hammered by #COVID19 just due to their willful ignorance.,"[{'text': 'COVID19', 'indices': [88, 96]}]"
,"The Covid-19 statistics are starlight. They are a reflection of the days-ago past. These are not the total of current cases, they are a glimpse back to the point of infection, captured at the moment of testing. Right now it's already worse.

#COVIDー19 #Shutdown #StayHome","[{'text': 'COVIDー19', 'indices': [242, 251]}, {'text': 'Shutdown', 'indices': [252, 261]}, {'text': 'StayHome', 'indices': [262, 271]}]"
"New Delhi, India","I'm a little upset with China. As much as I like President Xi &amp; respect the country, I admire what they have done in short period of time. I asked if we could send some people to help them, they didn't want it, at a pride. They didn't respond: US President Donald Trump #COVID19 https://t.co/1TlpGUGMX1",[]
Woodland WA USA,"🔴PREMIERE 8:00PM EST: https://t.co/z6hB28S2QR

At #CPAC2020, K. T. McFarland @realKTMcFarland, former deputy national security advisor under Michael Flynn, told Zooming In host Simone Gao that the world is reassessing #China due to the #COVID19 pandemic. 
#CCPVirus #Coronavirus https://t.co/rmQFM1kzNJ","[{'text': 'CPAC2020', 'indices': [69, 78]}]"
"Atoka, TN","BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[]
London + West Sussex,Trust the Germans for effective communication. #COVID19 https://t.co/3RJymX38Mk,"[{'text': 'COVID19', 'indices': [62, 70]}]"
"Lagos, Nigeria",Cuba's medical brigade arrived at Italy's Milan Malpensa Airport Sunday afternoon to support efforts to contain and treat #COVID19. @JoseCarlosRguez https://t.co/ESmmWwTYiu,[]
LONDON,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Salt Lake City, Utah",The Navajo Nation’s president urging people to stay home amid #COVID19 outbreak... #utpol https://t.co/GiG269bi0S,"[{'text': 'COVID19', 'indices': [62, 70]}, {'text': 'utpol', 'indices': [83, 89]}]"
Sakumono ,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly","[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'WeStandWithItaly', 'indices': [170, 187]}]"
"Boston, MA",I want to get a #COVID19 test so I can see my parents and in laws in a few weeks. We want to know in case they need our help. My parents have both had surgery this year. My in laws are both at risk too.,"[{'text': 'COVID19', 'indices': [16, 24]}]"
"MO, USA","{UPDATED MARCH 22ND} Total Confirmed COVID-19 Cases Outside China

#covidiot #covidiots #coronavirus #covid19 #COVID19outbreak https://t.co/5jOawHEZcg","[{'text': 'covidiot', 'indices': [88, 97]}, {'text': 'covidiots', 'indices': [98, 108]}, {'text': 'coronavirus', 'indices': [109, 121]}, {'text': 'covid19', 'indices': [122, 130]}]"
On a Paper Chase,I hate it here!!! #QuaratineLife #Quarantine2020 #COVIDー19 #StayHome #lockdown #coronavirus #SocialDistance # https://t.co/KKYgVReWo8,"[{'text': 'QuaratineLife', 'indices': [18, 32]}, {'text': 'Quarantine2020', 'indices': [33, 48]}, {'text': 'COVIDー19', 'indices': [49, 58]}, {'text': 'StayHome', 'indices': [59, 68]}, {'text': 'lockdown', 'indices': [69, 78]}, {'text': 'coronavirus', 'indices': [79, 91]}, {'text': 'SocialDistance', 'indices': [92, 107]}]"
,Pakistan PM Imran Khan &amp; Army Chief Gen Bajwa highly appreciated China as responsible and determined nation fighting #COVID19. Both asked Pakistanis to follow Chinese experience. Thanks to PM Khan &amp; Gen Bajwa! I wish Pakistan could defeat #COVID19 ASAP.,"[{'text': 'COVID19', 'indices': [133, 141]}]"
,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
Michigan,Can we stop the self-praise and propaganda. Let the grown-ups speak. Where is Fauci? #COVID19 https://t.co/IyYtvbXyI3,"[{'text': 'COVID19', 'indices': [99, 107]}]"
,"""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
,"""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
"Charlotte, NC","Given #COVID19 threat in #cancer, my team is evaluating:
(1) Impact of delaying time until treatment initiation. Which pts can safely wait after dx?
(2) Characterizing cause of death after dx. Which pts are at low risk, can avoid follow up?

https://t.co/SVwfYf2ES6
@guardian https://t.co/dsY4BWVUa4","[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'cancer', 'indices': [46, 53]}]"
European Union,"The virus doesn't recognise borders, our response shouldn't either.

This is the solidarity &amp; coordination we need to get through this crisis together.
 #COVID19 #StrongerTogether
https://t.co/hFto37fHHl",[]
"Niagara Falls, Ontario","Great spiritual reading for #LaetareSunday, especially in light of #COVID19, courtesy of @cathfamilynews — check it out and please share with family and friends! https://t.co/qlQh52aAHB","[{'text': 'LaetareSunday', 'indices': [45, 59]}, {'text': 'COVID19', 'indices': [84, 92]}]"
"Oslo, Norway","#COVID19 is not airborne

#COVID19 spreads via droplet &amp; contact transmission

For #HCW, @WHO has always recommended droplet precautions, except when preforming aerosol generating procedures, where we recommend airborne precautions

See here: https://t.co/6lZSOK9lb7 https://t.co/6lEtXrwWoC","[{'text': 'COVID19', 'indices': [18, 26]}, {'text': 'COVID19', 'indices': [44, 52]}, {'text': 'HCW', 'indices': [105, 109]}]"
,why is this orange idiot providing updates on #COVID19?  where is #Fauci?,"[{'text': 'COVID19', 'indices': [61, 69]}, {'text': 'Fauci', 'indices': [81, 87]}]"
"Alberta, Canada","At Labatt, we care about the health and safety of our communities. That’s why we’re mobilizing our breweries to produce and distribute 50,000 bottles of hand sanitizer to support @foodbankscanada, front line workers and partners in the restaurant and bar industry. #COVID19 https://t.co/9BxRbQKIMg",[]
"Omaha, NE",".@HealthDouglasCo announce six new positive #COVID19 cases amid increased testing in the community.  There are now 34 confirmed cases in Douglas County.  
#Coronaha | #NECOVID19 https://t.co/uKHTfQ2lYY","[{'text': 'COVID19', 'indices': [63, 71]}]"
"Vancouver, BC","While many have kept 2m apart in public, too many still think the rules don't apply. So we're done asking nicely.

Tomorrow, Council meets to pass bylaws authorizing enforcement to those violating orders.

Our message is clear: Shut down, Stay put, Save lives.

#vanpoli #COVID19 https://t.co/0N24jQcIOJ",[]
United States,We are in the center of a crisis and Idaho families and small businesses need relief NOW. Deeply disappointed my Democrat colleagues chose politics over the urgent needs of the American people. #COVID19,[]
,"BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[]
Australia,"96 hours and counting since #Covid19 testing. Still no result.

As an ER nurse it's incredibly frustrating to be waiting at home when I just want to be doing my job. Shouldn't we fast-track health care worker testing?

#WashYourHands #StayAtHome","[{'text': 'Covid19', 'indices': [28, 36]}, {'text': 'WashYourHands', 'indices': [219, 233]}, {'text': 'StayAtHome', 'indices': [234, 245]}]"
,I feel sorry for @CNN. They are attacking @realDonaldTrump more than talking about #COVID19 . The real danger is the virus not the president. A little focus would help.,"[{'text': 'COVID19', 'indices': [95, 103]}]"
"Los Angeles, CA",".@realDonaldTrump: “Today, I am announcing action to help New York, California, and Washington ensure that the @USNationalGuard can effectively respond to this crisis...Through @FEMA, the federal government will be funding 100% of the cost...” #COVID19 https://t.co/uYpN4QCWL4",[]
,Remember this. Senate Democrats voted NO on Phase 3 of the #coronavirus aid package. This is the bill that would deliver checks to American workers affected by #COVID19. Why are they playing politics with this? We don't have the time to go back to the drawing board. https://t.co/nsVKFOMDUM,"[{'text': 'coronavirus', 'indices': [68, 80]}]"
,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
"Toronto, Canada","Please share my open letter to parents during #COVID19. We are in this together.

#onpoli https://t.co/joDcRhzxy8","[{'text': 'COVID19', 'indices': [59, 67]}, {'text': 'onpoli', 'indices': [95, 102]}]"
"Stratford, London","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
,Good reminder that @realDonaldTrump is lying about the availability of #PPE on a daily basis. #COVID19 https://t.co/pjpFYXbY9s,"[{'text': 'PPE', 'indices': [86, 90]}, {'text': 'COVID19', 'indices': [109, 117]}]"
"Savannah, GA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
"Kaduna, Nigeria","Currently, there are five molecular laboratories in NCDC’s laboratory network with the capacity to test for #COVID19 in Nigeria.

Our lab teams are working around the clock to ensure rapid testing of samples from suspected #COVID19Nigeria cases across the country. https://t.co/besACz9WTb","[{'text': 'COVID19', 'indices': [121, 129]}]"
canada,"While many have kept 2m apart in public, too many still think the rules don't apply. So we're done asking nicely.

Tomorrow, Council meets to pass bylaws authorizing enforcement to those violating orders.

Our message is clear: Shut down, Stay put, Save lives.

#vanpoli #COVID19 https://t.co/0N24jQcIOJ",[]
Tunisia,"#COVID19: ""Testing is central because that leads to early detection""

South Korean Foreign Minister Kang Kyung-wha explains how they’ve been tackling the #CoronavirusPandemic

#Marr https://t.co/AJl63Em75M https://t.co/CbXjsASutD","[{'text': 'COVID19', 'indices': [17, 25]}]"
Chicago,"You scumbags really take the cake... if eating bizarre wildlife &amp; skinning dogs alive to eat them isn’t enough, you’re now blaming Italy for #COVID19??? I’ve never come across a country of more shameless scum, ruled by shameless scum. https://t.co/2wwS1Yq5sl",[]
