location,text,hashtags
,Watch @BTS_twt share a message of hope amidst the global #coronavirus pandemic https://t.co/X4qiY6Ildo,"[{'text': 'coronavirus', 'indices': [72, 84]}]"
Pennsylvania,Imagine Covid-19 making all of us paranoid college kids collectively take the tape/sticky notes off of our laptop webcams 😂,[]
,"New UK #coronavirus rules.  DON'T LEAVE HOME apart from

1. Grocery shopping only if u must
2. One exercise a day (alone or with household)
3. Travel to / from work (if can't work at home)

PLEASE LISTEN PEOPLE OR WE WILL RIGHTLY LOSE ALL FREEDOM TO LEAVE HOMES AT ALL.","[{'text': 'coronavirus', 'indices': [25, 37]}]"
,"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly","[{'text': 'COVID19', 'indices': [161, 169]}, {'text': 'WeStandWithItaly', 'indices': [170, 187]}]"
"Dammam, Kingdom of Saudi Arabia",This is how Saudi Arabia proved its view of human rights through the #Covid_19 crisis https://t.co/Kd08MBJzIm,"[{'text': 'Covid_19', 'indices': [86, 95]}]"
"Sydney, New South Wales","PM @BorisJohnson gives an important update on #coronavirus 
#StayHomeSaveLives https://t.co/MQo2EVVDcD","[{'text': 'coronavirus', 'indices': [67, 79]}, {'text': 'StayHomeSaveLives', 'indices': [81, 99]}]"
"California, USA","Stimulus legislation can’t mean blank checks for corporations. Workers must come first and have a seat at the table. Tax dollars can’t be used to reward wealthy executives. Companies must be held accountable.

Let’s work together and get this done for those impacted by #COVID19. https://t.co/gwlw6dWMsf","[{'text': 'COVID19', 'indices': [270, 278]}]"
SA,"“From Russia with love” 🇮🇹 🇷🇺 

Watch the Russian military answer #Italy’s call by transporting truckloads of medical equipment to the country worst-hit by #coronavirus in all of Europe.

Meanwhile the EU, NATO and the US are nowhere to be found 🤷🏻‍♀️ https://t.co/PyzMRG0Frn","[{'text': 'Italy', 'indices': [81, 87]}]"
NYC,"Just up: Another cause for concern, from former #CDC director Julie Gerberding @Merck

Antibiotic resistance: the hidden threat lurking behind #COVID19 https://t.co/RGgGnjEF7J via @statnews","[{'text': 'CDC', 'indices': [63, 67]}]"
,going live on https://t.co/TQgEYzakLd playing warzone with @anthonyalfredo and @austindillon3 to raise funds for charities helping with COVID-19 at 12pm PST. come help ❤️ #Fight2Fund https://t.co/8hjQ2rKqP3,[]
Toronto,We are declaring a State of Emergency as part of the City's ongoing efforts to stop the spread of COVID-19 and to ensure the municipal government can continue to act and respond quickly to the pandemic and any other events that arise in the weeks ahead. https://t.co/xsjZQ4Pnf8,[]
,"I am not going to stay silent. The world should be up in arms over disgusting Chinese wet markets. We should not trade with China until they pledge to ban these barbaric, unhygienic and dangerous practices that caused COVID-19 @talkRADIO @EliseDunweber https://t.co/HzgzI2HTMX",[]
Comfy Futon,"We're being told we've got to limit our #food shops, but how can we when the vultures strip the shelves every morning? In a time of crisis, #stockpilers should be treated as #looters and dealt with accordingly.. #coronavirus","[{'text': 'food', 'indices': [40, 45]}, {'text': 'stockpilers', 'indices': [140, 152]}, {'text': 'looters', 'indices': [174, 182]}, {'text': 'coronavirus', 'indices': [212, 224]}]"
"Ulvila, Finland","Actual, once again. #meanwhileinsweden #covid_19 #COVID19sverige

https://t.co/zZYcQpsc0L","[{'text': 'meanwhileinsweden', 'indices': [20, 38]}, {'text': 'covid_19', 'indices': [39, 48]}, {'text': 'COVID19sverige', 'indices': [49, 64]}]"
"Ilorin, Nigeria","This is the reality of the #Covid_19 #COVID19outbreak. The mistake committed by one person can affect everyone. Let us watch out our actions &amp; be responsible for the actions of those around us.

Practice the social distancing.

""Flee from a Leper"" says our Prophet (SAW). https://t.co/gTVLYw5AOh","[{'text': 'Covid_19', 'indices': [46, 55]}, {'text': 'COVID19outbreak', 'indices': [56, 72]}]"
"London , UK",Please join me for an important update on #coronavirus #StayHomeSaveLives https://t.co/QSlIOIaYsF,"[{'text': 'coronavirus', 'indices': [60, 72]}, {'text': 'StayHomeSaveLives', 'indices': [73, 91]}]"
"Lagos, Nigeria","#TakeResponsibility in the fight against #COVID19! 

Practice the following and convince everyone around you to follow suit: 

- Handwashing
- Social Distancing
- Disinfecting surfaces
- Sharing information from OFFICIAL sources like @NCDCgov &amp; @LSMOH

#ForAGreaterLagos
#LAWMA https://t.co/1WxUri8ZRp","[{'text': 'TakeResponsibility', 'indices': [14, 33]}, {'text': 'COVID19', 'indices': [55, 63]}]"
"Toronto, Ontario","Please, please, Toronto - practise physical distancing. It is how we will beat this virus. #covid19 https://t.co/l0En2jHeMj","[{'text': 'covid19', 'indices': [107, 115]}]"
The Lab,"no..
one...

cleans like Gaston
quarantines like Gaston
no one stops spreading COVID-19 like Gaston",[]
Ngunnawal Country Aka Canberra,"@kate_dowler @KathSully @NatalieKotsios @EdgannonWtn @RuralDocsVIC @Warwick_Long By our model we are expecting to be completely overwhelmed. We don’t even have enough PPE for a week. It’s not clear that we can safely manage just a single, stable covid-19 case when the overflow does occur. We aren’t even sure how much oxygen we have in the walls.",[]
,"The phrase your health is your wealth has never been more true. 
It is easy to sit back and eat food that tastes good although it doesn't do you any good, but it's important to stay healthy and strong. 
Take care of your body, but also take care of your mind.
 #coronavirus https://t.co/HF6mG9loWp","[{'text': 'coronavirus', 'indices': [261, 273]}]"
Ireland,"We need to attack the #coronavirus with aggressive and targeted tactics –  testing every suspected #COVID19 case, isolating and caring for every confirmed case, and tracing and quarantining every close contact.","[{'text': 'coronavirus', 'indices': [36, 48]}, {'text': 'COVID19', 'indices': [113, 121]}]"
,"Today I announced the mandatory closure of all non-essential workplaces to slow the spread of COVID-19. These measures will come into effect on Tues March 24th at midnight. People will still have access to medications and essentials, but every Ontarian must do their part.",[]
"King County, WA","As part of the statewide effort to limit the spread of the COVID-19 virus, we have added this messaging to our highway message signs throughout the state. Please do your part to help keep yourself and everyone safe. https://t.co/YFLX5ajSAv",[]
,"One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago, talking about whatever. The next time I saw him, he was admitted to the ICU. And that was the last time I saw him.

My whole body feels numb. 💔","[{'text': 'COVID19', 'indices': [53, 61]}]"
USA,"Om Chanting to support all “Corona Fighters” across the World!

@PMOIndia @myogiadityanath @NitishKumar @ZeeNewsHindi @RubikaLiyaquat @sudhirchaudhary @aajtak 

#COVIDー19 #coronavirus #pandemic #JanataCurfew #IndiaFightsCorona #CoronavirusOutbreakindia
 
https://t.co/3FXKbdw5TO","[{'text': 'COVIDー19', 'indices': [161, 170]}, {'text': 'coronavirus', 'indices': [171, 183]}, {'text': 'pandemic', 'indices': [184, 193]}, {'text': 'JanataCurfew', 'indices': [194, 207]}, {'text': 'IndiaFightsCorona', 'indices': [208, 226]}, {'text': 'CoronavirusOutbreakindia', 'indices': [227, 252]}]"
,New test can detect COVID-19 within 45 minutes https://t.co/Bn5O8PZvRL #coronavirus #Coronavid19 #COVIDー19 https://t.co/Kck4jLInUE,"[{'text': 'coronavirus', 'indices': [92, 104]}, {'text': 'Coronavid19', 'indices': [105, 117]}, {'text': 'COVIDー19', 'indices': [118, 127]}]"
"Charleston, SC","In his email newsletter,  @SenatorTimScott writes he is “more determined than ever to create meaningful legislation that will reduce the economic burden on not only South Carolinians, but all Americans” as COVID-19 impact grows. He says Dems need to stop playing games. #scpol https://t.co/7sQiOMIHXQ","[{'text': 'scpol', 'indices': [270, 276]}]"
,"#Everybody - we must #PlanktheCurve for 🇨🇦!

➡️#SocialDistancing: keep 2 metres away from others; no visitors, no playdates
➡️#Washyourhands well &amp; frequently 
➡️Disinfect surfaces &amp; high touch objects

#COVID19 #StrongerTogether #FlattentheCurve","[{'text': 'Everybody', 'indices': [17, 27]}, {'text': 'PlanktheCurve', 'indices': [38, 52]}, {'text': 'SocialDistancing', 'indices': [64, 81]}]"
"Glasgow, Scotland",Police Scotland to step up patrols in support of new government #SocialDistancing measures - statement from @CC_Livingstone #coronavirus https://t.co/s69UjCjmu1,"[{'text': 'SocialDistancing', 'indices': [84, 101]}]"
,My prayers go out to all the families who lost someone close to them and all those who have passed from COVID-19,[]
"Leura, Blue Mountains",#AustralianBorderForce relentlessly hounds helpless #refugees but lets 3400 potential #coronavirus carriers off boat in Sydney without carrying out even minor health check &amp; then blames #NSWHealth. They are indescribably irresponsible &amp; must be disbanded as useless to our nation.,"[{'text': 'AustralianBorderForce', 'indices': [20, 42]}, {'text': 'refugees', 'indices': [72, 81]}, {'text': 'coronavirus', 'indices': [106, 118]}]"
Southern California,How can social distancing help us slow the spread of #COVID19? Learn more about the practice during a free @theNAMedicine and @PublicHealth webinar on 3/25 at 3pm ET. https://t.co/QWfSwl5y00 #COVID19conversations,"[{'text': 'COVID19', 'indices': [53, 61]}, {'text': 'COVID19conversations', 'indices': [191, 212]}]"
Trinidad,Deyalsingh asks newspapers to include Spanish language section for Venezuelans to get tested #coronavirus #COVID19 https://t.co/r2uQXuxhNx,"[{'text': 'coronavirus', 'indices': [109, 121]}, {'text': 'COVID19', 'indices': [122, 130]}]"
,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Norwalk, CT","Is it typical for two Covid-19 tests to be required? We got this email from my child’s daycare, which is still open, and I don’t understand why someone needs to submit two positive results. Shouldn’t one positive be enough? https://t.co/Y1APrRg8WD",[]
,Welcome to my waiting-for-Covid-19 update rave sc-c-c-rrrrream if you wanna go outside!!! put your hands up!!! lemme hear ya https://t.co/jZk0CYx95u https://t.co/jS7ezCrngY,[]
"Memphis, TN",Kirk Ferentz just defeated COVID-19 https://t.co/FRrI7yDFqH,[]
"5.6176613,-0.2389615,14.5z","Sadly not everyone can #StayHome in Nigeria, some need to hustle to eat. https://t.co/jlDldCiVNR","[{'text': 'StayHome', 'indices': [39, 48]}]"
"Quincy/Boston, MA (USA)","My 29-years-old friend died from COVID-19. He had supportive friends &amp; family. He had goals that he was constantly reaching. If you think you are young, you can go out and you'll be fine. Think again, You just don't know.

Stay at home. If not for the community, then for yourself",[]
"Toronto, Ontario","FACT: In February, Iran’s chief terror airline, Mahan Air, continued to fly at least 55 times between Tehran and China, spreading the #WuhanVirus. At least five countries’ first cases of #COVID19 were a direct result of the Iranian regime’s disregard for everyone’s health.",[]
"Kampala, Uganda","BREAKING NEWS
@JaneRuth_Aceng says there are 8 new confirmed cases of #COVID19 cases in Uganda. They are all Ugandans who travelled from Dubai. This brings the total number of confirmed cases to 9. #VisionUpdates https://t.co/SS2wzgQtTs","[{'text': 'COVID19', 'indices': [89, 97]}]"
"North of Houston, Tx on I-45","COVID-19 UPDATE FOR MONTGOMERY COUNTY
MONTGOMERY COUNTY – Montgomery County Public Health District, in conjunction with Montgomery County Office of Emergency Management, can confirm Montgomery County now has 19 positive cases of COVID-19.  https://t.co/RF8whDmXuO.",[]
"Utah, USA","Maybe we need an Executive Order to freeze ALL assets of the 535 members of Congress until an agreement can be reached...

We'll use the procedure they use on the hill 

Role call

RT for a larger sample
#MondayMotivaton
#Quarantine
#LeadRight 
#TWGRP",[]
"California, USA",“COVID-19 in Louisiana: 837 coronavirus state cases reported; stay at home order begins Monday”,[]
,"South Asia  #COVID-19 cases: #India 468, 9 deaths
#Pakistan 803, 6 deaths 
#SriLanka 92
#Bangladesh 33, 3 deaths
#Maldives 13
#Bhutan 2
#Nepal 2
#CoronaVirusUpdate
#CoronavirusPandemic","[{'text': 'COVID', 'indices': [30, 36]}, {'text': 'India', 'indices': [47, 53]}, {'text': 'Pakistan', 'indices': [68, 77]}, {'text': 'SriLanka', 'indices': [93, 102]}, {'text': 'Bangladesh', 'indices': [106, 117]}]"
Milwaukee,Thank you to every single healthcare worker responding to this global pandemic. You are our heroes. #WeAreAscension #COVID19 #MKE https://t.co/SFK4uGzV1w,"[{'text': 'WeAreAscension', 'indices': [100, 115]}, {'text': 'COVID19', 'indices': [116, 124]}, {'text': 'MKE', 'indices': [125, 129]}]"
England,"Regardless what you think of Boris Johnson, whether you voted Conservatives or not; he is getting this country through this. He’s done more than I expected. Let’s hope people listen and take this seriously. #COVID19","[{'text': 'COVID19', 'indices': [207, 215]}]"
"Pta,soshanguve","Checked on @idriselba since he got tested positive for #Covid_19 ... he’s still fine and chilled. I had to hung up. Download the video here https://t.co/Eh8jnmPJzj
-
-
-
#lockDownSouthAfrica #motsepe #21days #Supermarkets #Rupertandoppenheimer https://t.co/MudjPFw0Fj","[{'text': 'Covid_19', 'indices': [72, 81]}]"
"Ontario, Canada","Are there more silent #COVIDー19 spreaders than we thought?

Iceland, which is able to test its entire population, found half of those who tested positive had no #coronavirus symptoms. More @business: https://t.co/ggejlSZKHL https://t.co/jHrM7LCWct","[{'text': 'COVIDー19', 'indices': [37, 46]}]"
"Houston, TX",We are helping our transplant patients #stayhome by offering virtual clinics. This patient of mine is 21 years post-transplant and needs to stay safe 🙂 https://t.co/WZa9UqIJy6,"[{'text': 'stayhome', 'indices': [59, 68]}]"
"Madrid, España","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
,"For all news related to COVID-19 and updates regarding our campuses and what we are doing to protect the sisters, visit https://t.co/FL09J3PAMT",[]
"Atlanta, GA ",Breaking: Georgia @GovKemp issues Executive Order that will close all restaurants &amp; will ban gatherings of 10 or more people. Begins tomorrow at 12 p.m. until April 6. #coronavirus #covid19 https://t.co/N9nQ2m0QCI,"[{'text': 'coronavirus', 'indices': [172, 184]}, {'text': 'covid19', 'indices': [185, 193]}]"
"Wales, United Kingdom","* IMPORTANT NOTICE RE - UK LOCK DOWN *
Unfortunately, due to government enforced containment measures in response to the COVID-19 virus pandemic, I have had to temporarily shut down my Etsy store. I appreciate your patience, support and understanding during this difficult time &lt;3",[]
,"If the Senate can’t come together in a time of great need, no Senator should receive a paycheck—like millions of Americans. If the urgent COVID-19 relief package fails again, I’m introducing a bill immediately to withhold Senators’ pay until Americans are put before politics.",[]
Reality,"UK’s @BorisJohnson orders shops closed, no gatherings over #coronavirus via @AP https://t.co/cU8ZDrhdgt #FlaPol https://t.co/KaELEbRy5l","[{'text': 'coronavirus', 'indices': [72, 84]}, {'text': 'FlaPol', 'indices': [117, 124]}]"
"Atlanta, GA","Simply pausing #studentloan payments during this crisis is not enough. We MUST #CancelStudentDebt as part of any #COVID_19 emergency economic stimulus package. Today, @Ilhan &amp; I led our colleagues in urging House leadership to do just that. 
https://t.co/qRqjiwstSE","[{'text': 'studentloan', 'indices': [32, 44]}, {'text': 'CancelStudentDebt', 'indices': [96, 114]}, {'text': 'COVID_19', 'indices': [130, 139]}]"
United States,".@POTUS signed the bipartisan Families First Coronavirus Response Act last night to support Americans affected by COVID-19. The bill includes paid family and sick leave for employees of small businesses, and dollar for dollar reimbursement for the businesses providing the leave.",[]
"South East, England",Post Coronavirus baby boom? What do you reckon?! #coronavirus #mondaythoughts #hmm #StayAtHomeSaveLives ...shag?!! 😝,"[{'text': 'coronavirus', 'indices': [49, 61]}, {'text': 'mondaythoughts', 'indices': [62, 77]}, {'text': 'hmm', 'indices': [78, 82]}, {'text': 'StayAtHomeSaveLives', 'indices': [83, 103]}]"
"Lincoln, NE","Things the GOP has done during the Covid-19 outbreak: 

- Illegally traded stocks 
- Called it a hoax
- Blamed it on China 
- Tried to bailout big business without conditions

What they haven’t done: 

- Help workers 
- Help small businesses
- Produced enough tests or ventilators",[]
"Dundee, Scotland","BREAK: PM announces a full UK lockdown to tackle #COVID19 

You can only leave to: 

* Travel to work but only if necessary 
* Providing care or going to a medical appointment 
* Shopping for basic necessities
* Exercising once a day

Police will have powers to enforce rules","[{'text': 'COVID19', 'indices': [65, 73]}]"
,"Great news! 
#coronavirus #COVIDー19 
#Hydroxychloroquine https://t.co/ENFfaH15V5","[{'text': 'coronavirus', 'indices': [26, 38]}, {'text': 'COVIDー19', 'indices': [39, 48]}, {'text': 'Hydroxychloroquine', 'indices': [50, 69]}]"
,"Boris Johnson saying the government will bring 7,000 medical professionals out of retirement like it’s something to be proud off. This just goes to show how badly the Tories have fucked our NHS over the last decade. 
#coronavirus",[]
,"To help the American people through these trying times, Democrats are insisting the #coronavirus relief package includes increased emissions standards for airlines and wind and solar tax deductions. Wait…is help the right word? #No #LetsGetThisDone #StopThePoliticalGames","[{'text': 'coronavirus', 'indices': [105, 117]}]"
,"Hierarchical structures often hinder an organization’s ability to address new problems like #COVID19. In blog post 9 @governwell suggests that in a #Crisis you pursue flat, fast and flexible organizing structures. Read on. 

https://t.co/MfRcXKd2JK","[{'text': 'COVID19', 'indices': [108, 116]}]"
,"We need a national shelter in place  for two weeks. Every person in Congress should be calling for it.  The patchwork is not working. Given the exponential growth of Covid-19, we need to act to save lives. Now. Everyone of us in the federal government is accountable.",[]
Cornwall 💙,"Engineering giant @Dyson hopes to produce 5,000 ventilators at its Wiltshire plant to help the #NHS during the #coronavirus outbreak https://t.co/QY0eviGpDa","[{'text': 'NHS', 'indices': [115, 119]}]"
"Charlottesville, VA","""“The last thing that we want right now is to inundate our emergency departments with patients who believe they found a vague and risky solution that could potentially....” Arizona man dies after self-medicating to prevent COVID-19 coronavirus https://t.co/aATuQ9nEdA via @12News",[]
,@GavinNewsom says they are working “very aggressively” to address prison system and #Coronavirus issues - both staff and inmate safety.,"[{'text': 'Coronavirus', 'indices': [102, 114]}]"
"Washington, DC","Thank you to @washingtonpost, @laurameckler, and @valeriestrauss for bringing attention to the need for ensuring continuous learning for students during the COVID-19 outbreak, especially those with disabilities. Read here: https://t.co/ix36fPZtIH",[]
"Illinois, USA","Tonight 10pm CST with @GriffonLore   

#ttrpg #dnd5e #StayHome #WatchTwitch https://t.co/h79jQkiVs0","[{'text': 'ttrpg', 'indices': [39, 45]}, {'text': 'dnd5e', 'indices': [46, 52]}, {'text': 'StayHome', 'indices': [53, 62]}, {'text': 'WatchTwitch', 'indices': [63, 75]}]"
Code KeepRushin ,"PM @BorisJohnson gives an important update on #coronavirus 
#StayHomeSaveLives https://t.co/MQo2EVVDcD","[{'text': 'coronavirus', 'indices': [67, 79]}, {'text': 'StayHomeSaveLives', 'indices': [81, 99]}]"
,"Today, I am issuing a “Stay Home, Stay Safe” Executive Order. It goes into effect tonight at midnight.

The goal here is simple: Stay home. Stay safe. Save lives. If we all stay at home, except for critical work and needs, we can mitigate the spread of COVID-19. https://t.co/JxH3HYCdsE",[]
Jamaica,"Elephant Man charged, to be forced into COVID-19 quarantine facility  https://t.co/4f6zv7txGS https://t.co/bvPUe9k1qt",[]
Pee Pee Island,BREAKING NEWS: Genie tests positive for COVID-19 https://t.co/mYantzvfoV,[]
ask why?,"WHO unveils urgent plan of action against COVID-19, but Chinese doctor warns of a new outbreak https://t.co/ATiK0woRrh",[]
Hull,"From today, we will not be disconnecting any KCOM customer in our region for non-payment of bills &amp; we will not be charging any late payment fees. We understand how hard it is for our customers right now. Read full detail here #COVID19 https://t.co/rZvCeQ8BTp",[]
"Houston, Texas","Holy smokes @tedcruz on the Senate floor just now. ""Today, 102 Americans died while the Democrats blocked consideration of this bill... One Texan died while this chamber decided not to show up for work and do their job."" #coronavirus",[]
Possibly in your neighborhood.,"I would like to challenge all the wealthy politicians (that’s almost all of them) to donate 2 months salary (@realDonaldTrump always does this)to help small business function for the 15 day moratorium. Yes @SpeakerPelosi I’m talking to YOU!
Retweet if you agree! #COVID19",[]
Africa,"Why does #coronavirus seem so deadly in Italy than in any other country? What I hear people blame over Italy is their ingrained ill health system. The disease may not be that bad, but what if you have a poor health system? https://t.co/EWn7B8Nm6J","[{'text': 'coronavirus', 'indices': [9, 21]}]"
,Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/VkAu8osSLn,"[{'text': 'COVID19', 'indices': [27, 35]}, {'text': 'coronavirus', 'indices': [52, 64]}]"
"Atlanta, Georgia",I’m so proud to live in Michigan as we deal with #Coronavirus. Our Democratic Governor is earning an A. Our Republican leaders in the House and Senate are earning an A. Our Supreme Court is getting a book award with an A+. And our Kent County leaders are earning an A. Inspiring!,"[{'text': 'Coronavirus', 'indices': [60, 72]}]"
Ghana,Situation update confirmed #covid19 cases in Ghana as at 23 March 2020. https://t.co/9craOcPrX1,"[{'text': 'covid19', 'indices': [41, 49]}]"
abingdon oxon uk,There will be a lot of very unsettled children and elderly people out there.. I’ve put my fairy lights on again outside my house.. hopefully it will offer a little comfort #selfisolating #coronavirus #StayHomeSaveLives #COVID19 #community #comfort https://t.co/SHfvwDZ8NF,[]
,COVID-19 SPECIAL INVESTIGATION: Part Three – Behavioural Scientists told Government to use ‘Herd Immunity’ to Justify Business-As-Usual https://t.co/wOT3JjcrVO via @BylineTimes,[]
"England, Leeds","It’s the last night to stream “Helvetica” free. Over 50,000 people have watched it over the past week, hope you enjoyed it! Watch here: https://t.co/czBBoFqvQE

Up next: Objectified. I’m streaming all my films free to folks staying home during the COVID-19 crisis.

Stay safe! https://t.co/GveX4U0LYR",[]
,covid-19 is real 🌎💔,[]
,"By me @Forbes and @ForbesEurope: #coronavirusvaccine testing facility hit, extortion demands made by group which promised not to target healthcare.

kudos @j_opdenakker and @BrettCallow for insight

#infosec #CyberSecurity #COVIDー19 #coronavirus #news

https://t.co/Qw0K3CfF2X","[{'text': 'coronavirusvaccine', 'indices': [48, 67]}]"
Silicon Valley,"""We don't have great tests in the first place for flu, much less [COVID-19],"" Dr. Vin Gupta says. ""So how are we going to actually be able to truly know who needs to be socially distant?""
https://t.co/uPoXmPhOin",[]
"Leeds, England",Quarantine day 1. Made a new friend. Limited conversation. Mostly fowl language. #coronavirus #COVIDー19 #QuaratineLife https://t.co/P3TyuxC3qR,"[{'text': 'coronavirus', 'indices': [81, 93]}, {'text': 'COVIDー19', 'indices': [94, 103]}, {'text': 'QuaratineLife', 'indices': [104, 118]}]"
,"Hmm: ""Some COVID-19 vs. Malaria Numbers: Countries with Malaria have Virtually no Coronavirus...and countries with many COVID-19 cases have little to no malaria"" https://t.co/GetKO4kVc7 https://t.co/mSdjCg8zew",[]
,"Strong, clear new rules from the Prime Minister. To stop the spread of #coronavirus, protect the NHS and save lives: stay at home

Together we will get through this.

#StayHomeStayLives","[{'text': 'coronavirus', 'indices': [88, 100]}]"
,"BREAK: PM announces a full UK lockdown to tackle #COVID19 

You can only leave to: 

* Travel to work but only if necessary 
* Providing care or going to a medical appointment 
* Shopping for basic necessities
* Exercising once a day

Police will have powers to enforce rules","[{'text': 'COVID19', 'indices': [65, 73]}]"
,"For the hard of hearing, #COVID19 poses some special challenges. Read more at https://t.co/zx6DfVwdpU : https://t.co/koRS3vFIZr #hardofhearing #hearingloss @efhoh @eurociu  @ifhoh  #AEAOrganisation https://t.co/mOrnXqDb7n","[{'text': 'COVID19', 'indices': [38, 46]}]"
,"Seven Acts of Love in a time of #coronavirus 
1) Call someone who is lonely
2) Check on someone who is old or sick 
3) Keep your distance (social not spiritual)
4) Listen to public health officials
5) Pray for doctors
6) Wash your hands
7) Stay home","[{'text': 'coronavirus', 'indices': [51, 63]}]"
"La Florida, Chile","Got my quarantine Saturday night date ... 🕯🧸🥂😍🤞🏻what about you ??
#YesImBored #StayHome #FollowTheRules #IMightGetLucky #WishMeLuck #IThinkImLoosingIt #StaySafe 🙏🏻❤️ https://t.co/LhBIewAdmC","[{'text': 'YesImBored', 'indices': [84, 95]}, {'text': 'StayHome', 'indices': [96, 105]}, {'text': 'FollowTheRules', 'indices': [106, 121]}, {'text': 'IMightGetLucky', 'indices': [122, 137]}]"
"Burkburnett, TX","TIMELINE: The Trump Administration's Decisive Actions to Combat the #Coronavirus --&gt;
https://t.co/0FnwKeUjbb 

#ChineseVirus #WuhanVirus #WuhanCoronaVirus","[{'text': 'Coronavirus', 'indices': [86, 98]}]"
UK,"European countries continue to show the way.
#Covid19 https://t.co/dKo0XVORRT","[{'text': 'Covid19', 'indices': [45, 53]}]"
"Los Angeles, CA","""I’m A Doctor. The U.S. Response To Coronavirus Has Been Nothing Short Of Criminal."" - powerful piece from physician and writer @diptisbarot
https://t.co/b7PinPMXaH",[]
"Denver, CO","BREAKING: new stay-at-home order issued by @MayorHancock today. The order will be in effect starting tomorrow, Tuesday 3/24 and last through at least April 10th. #coronavirus #covid19","[{'text': 'coronavirus', 'indices': [162, 174]}, {'text': 'covid19', 'indices': [175, 183]}]"
KCMO-DSM-ATL,The Walking Dead poster vs. The actual Atlanta highway yesterday. #CoronaVirus #Covid19 https://t.co/0gl9YQIJOc,"[{'text': 'CoronaVirus', 'indices': [80, 92]}, {'text': 'Covid19', 'indices': [93, 101]}]"
,"This is brilliant news and huge praise for every single one of the 7,500 ...

But we need the same in the social care sector too, which remains dangerously understaffed while caring for the people most vulnerable to #coronavirus https://t.co/oc3laHdNl7",[]
